id,title,category,subcategory,source_type,health,item_count,last_success,url,rss_url,atom_url,json_url,ics_url
agency-dep-news,Maine Department of Environmental Protection News & Media Releases,Maine Agencies,DEP,html,ok,33,2026-09-02T21:00:55.679062+00:00,https://www.maine.gov/dep/news/index.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-dep-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-dep-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-dep-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-dep-news.ics
agency-bep-meetings,Board of Environmental Protection — Meeting Materials (agendas & minutes),Maine Agencies,BEP meetings/appeals,page_monitor,ok,2,2026-09-02T21:00:58.683574+00:00,https://www.maine.gov/dep/bep/calendar.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-bep-meetings.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-bep-meetings.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-bep-meetings.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-bep-meetings.ics
agency-dhhs-news,Maine Department of Health and Human Services News,Maine Agencies,DHHS,html,ok,26,2026-09-02T21:01:00.646947+00:00,https://www.maine.gov/dhhs/news,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-dhhs-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-dhhs-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-dhhs-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-dhhs-news.ics
agency-labor-news,Maine Department of Labor News & Events,Maine Agencies,Department of Labor,html,ok,22,2026-09-02T21:01:02.710210+00:00,https://www.maine.gov/labor/news_events/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-labor-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-labor-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-labor-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-labor-news.ics
agency-pfr-press-releases,Maine Dept. of Professional and Financial Regulation Press Releases,Maine Agencies,Professional and Financial Regulation,html,ok,50,2026-09-02T21:01:06.860171+00:00,https://www.maine.gov/pfr/legal/press-releases,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-pfr-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-pfr-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-pfr-press-releases.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-pfr-press-releases.ics
agency-bureau-insurance-bulletins,Maine Bureau of Insurance Bulletins,Maine Agencies,Bureau of Insurance,html,ok,50,2026-09-02T21:01:07.015427+00:00,https://www.maine.gov/pfr/insurance/legal/bulletins,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-bureau-insurance-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-bureau-insurance-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-bureau-insurance-bulletins.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-bureau-insurance-bulletins.ics
agency-bfi-news-notices,Maine Bureau of Financial Institutions — News & Notices,Maine Agencies,Bureau of Financial Institutions,html,ok,7,2026-09-02T21:01:09.260129+00:00,https://www.maine.gov/pfr/financialinstitutions/news-notices,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-bfi-news-notices.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-bfi-news-notices.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-bfi-news-notices.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-bfi-news-notices.ics
agency-real-estate-commission,Maine Real Estate Commission News & Publications,Maine Agencies,Real Estate Commission,page_monitor,ok,13,2026-09-02T21:01:11.503499+00:00,https://www.maine.gov/pfr/professionallicensing/professions/real-estate-commission/home/news-publications,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-real-estate-commission.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-real-estate-commission.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-real-estate-commission.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-real-estate-commission.ics
agency-mainecare-bulletins,MaineCare Policy Bulletins,Maine Agencies,MaineCare policy notices,html,ok,50,2026-09-02T21:01:13.989499+00:00,https://www.maine.gov/dhhs/oms/about-us/mainecare-bulletins,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-mainecare-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-mainecare-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-mainecare-bulletins.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-mainecare-bulletins.ics
agency-ethics-commission,Maine Commission on Governmental Ethics and Election Practices — Notices,Maine Agencies,Ethics Commission,page_monitor,ok,14,2026-09-02T21:01:23.320973+00:00,https://www.maine.gov/ethics/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/agency-ethics-commission.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/agency-ethics-commission.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/agency-ethics-commission.json,https://bedardandy.github.io/maine-government-feeds/calendar/agency-ethics-commission.ics
